step,vehicle_count,speed,co2_emission,congestion
1960,73,8.150303569455174,2635.2280721521984,0
1961,71,8.0393046793023,2481.19262886459,0
1962,72,7.966661330251657,2940.7868380985456,0
1963,71,7.933628442046032,2868.063714029719,0
1964,70,7.8783648993810536,2866.4696113186305,0
1965,71,7.853468814609494,2903.9342356357,0
1966,71,8.137452530614805,3277.287704046121,0
1967,71,8.199262081096755,3183.5845936585274,0
1968,72,8.327291380179796,3099.9872484867,0
1969,72,8.481974911904963,3115.211791549514,0
1970,72,8.627510897942098,2646.280656706764,0
1971,73,8.752036125439194,2828.75366926886,0
1972,73,8.803037432510571,2791.0129392136273,0
1973,73,8.706276326775706,2314.3333278665455,0
1974,74,8.35701394963743,2192.6446719207524,0
1975,74,7.958132672635387,2049.746884982362,0
1976,72,7.322346620238736,2096.1160757449384,0
1977,73,7.095769531532276,2374.4481354052105,0
1978,72,6.983922528838701,2166.687904977077,0
1979,72,7.062055060593725,2317.986827191105,0
1980,73,7.152582294702498,2693.2643473511043,0
1981,73,7.475475265150278,2565.628616037104,0
1982,73,8.00750903803422,3062.178433968419,0
1983,73,8.023979347502845,2728.584142868573,0
1984,72,8.164616236976222,2748.2469149392555,0
1985,72,8.441998484313572,2967.20073141176,0
1986,73,8.598706541510207,3449.384527343652,0
1987,73,8.819794976695828,3063.7533031402536,0
1988,72,8.953173686995125,3167.2747930037012,0
1989,72,8.920048196993411,3219.0000756939357,0
1990,71,8.761021473385055,3115.914767683565,0
1991,71,8.591653562424726,2679.070364141427,0
1992,71,8.432496896713412,3030.648756829077,0
1993,71,8.309532568225428,2942.0444868404,0
1994,70,8.24760653930235,2820.46598142988,0
1995,70,8.175076403842922,2969.5454344659056,0
1996,70,7.857047959452575,2555.378271273848,0
1997,71,7.509514675408695,2336.6406692893343,0
1998,72,7.240855107469861,2794.385854029309,0
1999,72,6.973939900191577,2382.3174941985835,0
2000,72,6.839740302332492,2377.3463701340565,0
2001,73,6.886779151846326,2639.3067844465286,0
2002,73,6.963000356318833,2341.912201773624,0
2003,73,7.089273057766302,2610.501405210304,0
2004,74,7.0006963038513765,2458.976988271287,0
2005,74,7.042788509621633,2443.92501507909,0
2006,74,7.231995987729798,2813.9640135098234,0
2007,74,7.158870952330932,2720.7441925335856,0
2008,74,7.147260340916159,2834.931803590576,0
2009,74,7.1937507350961845,2730.0975342170295,0
2010,75,7.40830801806965,3041.8519617800553,0
2011,74,7.704447413498871,3318.3325846828507,0
2012,74,8.163068888230109,3357.120825961382,0
2013,75,8.164124488441587,3064.6603768894006,0
2014,75,8.53506691457173,3213.4703759638546,0
2015,75,8.700029369117274,3280.1326208056207,0
2016,76,8.743370249004716,3558.00733333897,0
2017,76,8.912348275848233,3282.39488610759,0
2018,74,9.08102221267806,3333.774227904233,0
2019,75,9.10313627548902,3426.891963956866,0
2020,75,9.405609367668205,3662.2347964635424,0
2021,75,9.925400719469378,4191.511821811242,0
2022,76,9.86464118785416,3385.3365480893117,0
2023,76,9.85115614015426,3373.5045292705336,0
2024,76,9.951130916129546,3490.9185258924567,0
2025,77,9.811719350150982,2869.6327318564167,0
2026,77,10.050511284700917,3458.332166982316,0
2027,77,10.093370656802193,3159.860083276672,0
2028,77,9.884392913504811,2924.8382547662563,0
2029,77,9.539610991360307,2453.2538641280457,0
2030,77,9.161396370270044,2435.240599237507,0
2031,78,8.600396430783167,2322.1938271727686,0
2032,78,8.339349937942107,2789.2405293993247,0
2033,78,8.51946285051553,2981.601910930253,0
2034,79,8.43719300590693,3207.6818843944548,0
2035,79,8.505810035088693,3096.141410198417,0
2036,78,8.925022233346539,3782.659114585523,0
2037,79,9.264376501942234,3874.220171000078,0
2038,79,9.581949204005427,3739.230187075953,0
2039,79,10.115248310212083,4094.167317634542,0
2040,79,10.06898671095366,3605.031218858474,0
2041,79,10.130875268936371,3324.1140866235496,0
2042,79,9.997168720757694,3228.5937048572096,0
2043,80,9.932917571377242,3190.798469327315,0
2044,80,9.822390078271972,2592.1715761242826,0
2045,80,9.639614176021595,2578.194645913157,0
2046,81,9.34607239106847,2832.914979181719,0
2047,81,9.405051296183666,3167.5456651724066,0
